Var1,SX,CW,ZL,YZ,HL,TT,HG,TG,YM,BH,ES,BX,FM,FT,PN,HH,FY,TY
SX,0,0,0,37,18,34,8,19,40,28,21,24,3,17,1,7,3,0
CW,1,0,0,22,12,26,14,14,29,21,6,23,37,33,5,8,7,2
ZL,2,1,0,26,4,28,6,38,31,27,28,21,27,56,5,8,19,1
YZ,0,0,0,0,2,24,0,36,19,22,11,25,5,27,0,5,10,0
HL,0,0,0,0,0,0,7,3,1,3,4,3,1,17,4,19,22,3
TT,0,0,0,0,1,0,0,10,13,20,6,6,8,7,1,5,5,0
HG,0,0,0,1,0,0,0,2,1,0,4,1,4,21,7,22,12,1
TG,0,0,0,3,2,0,0,0,7,4,4,5,5,4,5,0,1,0
YM,0,0,0,0,0,0,0,0,0,5,5,8,4,8,2,2,9,0
BH,0,0,0,0,0,0,1,2,0,0,3,10,5,19,0,6,4,0
ES,0,0,0,0,2,1,7,0,0,0,0,0,2,7,0,2,1,0
BX,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,1,9,0
FM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0
FT,0,0,0,2,0,0,1,0,0,0,0,0,4,0,0,4,12,0
PN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13
HH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6
FY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
TY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
